t,lx,ly,lz,ax,ay,az,lvx,lvy,lvz,avx,avy,avz,lax,lay,laz,aax,aay,aaz,target_lx,target_ly,target_lz,target_ax,target_ay,target_az,target_lvx,target_lvy,target_lvz,target_avx,target_avy,target_avz,target_lax,target_lay,target_laz,target_aax,target_aay,target_aaz
31.0,0.003917954084046449,-0.0008283060357955513,0.24703300756537355,0.0005220524669803931,0.0033366377301631707,-0.00022294771191642447,-0.007871634467258809,-0.010206641355436792,0.011442066284907874,0.010265308095259548,-0.011123570087582498,-0.0028390441661020126,-3.67927155975904,0.5153326882190851,-3.974713668458624,-0.5604483300558002,-2.6281824368204076,0.11683691629278264,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0038814690364650387,-0.0007751531538836525,0.24688695675661554,0.00047576223528805,0.0033563269111551975,-0.00020641029856081542,0.006796098008359281,-0.012012357635475602,0.01838562902983936,0.012356753724531268,-0.0004234475946506939,-0.003414675696883849,-3.5475218591531212,0.4451226723358157,-3.3210694271054138,-0.5015389337798468,-2.581017859964893,0.11223793899774302,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0037871123206632416,-0.0007160806347903072,0.24676621464697832,0.0004185271743704038,0.003323212690444718,-0.00018757429101929298,0.020690869844013443,-0.013490620551719726,0.0218375230462301,0.014279387536045308,0.010288808627054839,-0.0039136022373252735,-3.3652008204334156,0.3695691215863775,-2.59756790042835,-0.4370683334649952,-2.5065185051301446,0.10162155672038044,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0036386467334537415,-0.000652490606417784,0.2466756858220468,0.000351133927262865,0.003237900468767069,-0.0001669830295575164,0.033647728266116894,-0.0146323841987801,0.02242335768218266,0.015981317032711266,0.020808423337136728,-0.004314735890625171,-3.1392028868301014,0.29073501114539546,-1.8742856101771201,-0.366941282191304,-2.4021970660186986,0.08587614644767293,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.003440485718371306,-0.0005857926801078456,0.24661636932550013,0.000275017042371352,0.0031029074392655027,-0.00014524160647170725,0.04552157563767403,-0.015435517086392299,0.02084899807170426,0.017405353997661747,0.030907320107998137,-0.0046029377858998535,-2.876136602673944,0.21054003063953747,-1.2042379238565841,-0.29127447190418354,-2.266120021693987,0.06607284288761835,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0031976154465053535,-0.0005173797086083364,0.24658618050590583,0.00019214409482934053,0.0029223904653492856,-0.00012298270917257648,0.05618740945691083,-0.01590422443389986,0.017822839456086943,0.018495936138312137,0.04035318515585083,-0.004769222484884402,-2.5823244332741,0.1307398971814181,-0.6235681166396554,-0.2105622616252811,-2.097473834941128,0.04338955451042131,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0029155095931401895,-0.00044860491385320054,0.24658086068753085,0.00010485837199508184,0.0027017901792560583,-0.00010083329902932622,0.06554079466934516,-0.016048471102871924,0.013996418836314759,0.0192055074896541,0.04892702754866111,-0.00481064735373047,-2.2638268872489036,0.05291434254904421,-0.15289680598327332,-0.12576635676137587,-1.8969169359042053,0.019038961965032502,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0026000373354058554,-0.00038076054086275303,0.24659487234587069,1.570334434531542e-05,0.0024474410107811037,-7.938450299022124e-05,0.07349844935864493,-0.015883404563744565,0.009923872477164744,0.019499648558396643,0.056437627003001825,-0.0047299102662376686,-1.9264760084243024,-0.02153852878524418,0.2005107575295213,-0.03832732242855487,-1.6667119548067861,-0.005796508640297192,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0022573656572841437,-0.0003150582528051543,0.24662220239898497,-7.274971921480185e-05,0.0021661890270577066,-5.9166564718821445e-05,0.07999882252808575,-0.015428774385098765,0.006039151182880036,0.019360524018965146,0.06273194221416437,-0.004534697300958981,-1.5759068920975086,-0.0914034692620693,0.44009273258380677,0.04989393708802012,-1.4106594319129966,-0.03002036913178874,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0018938575451451375,-0.00025261152290575095,0.24665702222762398,-0.00015805439010134787,0.0018650491175357486,-4.063006312014012e-05,0.08500255075421229,-0.0147083438955985,0.0026487274764727723,0.01878849044354745,0.06770118512163494,-0.004236837092731495,-1.2175794588168334,-0.1556464560110537,0.5771544637802875,0.13672919983671547,-1.1338728536244624,-0.052666705172091086,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0015159680423491812,-0.00019442028638980754,0.24669417780010866,-0.00023801105464284623,0.0015509215200127091,-2.4133908829276763e-05,0.08849269647457045,-0.013749290441552878,-6.3217458908338e-05,0.017801945324959146,0.07128278915021914,-0.0038513283212565,-0.85678600939644,-0.21341132868049711,0.628099314621822,0.2198507407391796,-0.8424449503203756,-0.07293275899706099,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0011301403592257353,-0.00014135809760749965,0.24672950481083772,-0.0003107529729052443,0.0012303767173542975,-9.93999429536041e-06,0.090474692011689,-0.012581592541541233,-0.002020480562126532,0.01643567987615419,0.07345887848628839,-0.0033953105044128872,-0.498642905272522,-0.26401543933290916,0.6119195674101352,0.2969331764942492,-0.5430574501019246,-0.09019916293204404,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.000742704300929024,-9.41619924432191e-05,0.24675998070212984,-0.0003747960968910189,0.0009095084554838105,1.786158224501018e-06,0.09097593765575117,-0.011237404725477669,-0.0032347430593892357,0.014738112194583715,0.07425207137606976,-0.0028870457737243034,-0.14806696905634537,-0.30694472199185513,0.5480792647906292,0.3658101703413085,-0.2425823767523277,-0.1040382128067198,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0003597791893145556,-5.342519776915842e-05,0.24678373742974924,-0.0004290560628883091,0.0005938478341362819,1.0969770516733413e-05,0.09004502695688542,-0.009750423496529588,-0.0037827588741880486,0.012767825310575591,0.07371953354485404,-0.0023449713986707925,0.1902611501192755,-0.3418483254281973,0.4548622779135355,0.4246103616487866,0.052285616265657885,-0.11421118981794523,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-1.2816751219729367e-05,-1.9592758715936552e-05,0.24679996605106252,-0.00047283823719693023,0.0002883270688410033,1.7617437278135428e-05,0.08775059588756468,-0.008155250315817413,-0.0037834127150983975,0.010589825257699548,0.07194616227276396,-0.0017868708182410993,0.5119433316927047,-0.3685327642595974,0.3482069422232947,0.47186156726677175,0.3353375014789713,-0.12065625332773122,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,-0.00036964886367844537,7.039916602471885e-06,0.24680874675449474,-0.0005058078886005979,-2.7204316518743675e-06,2.1805298894409964e-05,0.08417981324795983,-0.006486759529887744,-0.0033766487989537295,0.008271881372142237,0.06903765928127262,-0.0012291964579617823,0.8129161944217203,-0.38695542765908914,0.24100604778292306,0.5065573588199153,0.6010821731669921,-0.12346880370897305,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,-0.0007057390440360196,2.6325667906435633e-05,0.24681083689844768,-0.0005279477290068787,-0.0002755371305146624,2.3665987963580416e-05,0.07943654662675964,-0.004779480590720186,-0.002705647460308404,0.005881230331262282,0.06511407546135028,-0.0006865623341864844,1.0895051844654569,-0.39721723362545575,0.14281923815917733,0.5281848961757617,0.8448972819222789,-0.12287643429102221,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,-0.001016628245355988,3.8261486017584676e-05,0.2468074461870281,-0.0005395094033763204,-0.0005269077113051095,2.3375427851540654e-05,0.07363925092261107,-0.0030670047015091437,-0.0019030271447972313,0.0034818323931495665,0.06030421460887314,-0.00017140989513785872,1.338476789593526,-0.3995542181546623,0.0599242227075298,0.53671690563021,1.0631023203855332,-0.11921064999230228,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,-0.0012984278370296455,4.298189789110746e-05,0.24680002279039032,-0.0005409642492346844,-0.0007541240804562429,2.1140331047139267e-05,0.06691863485022012,-0.001381426177771608,-0.001081319480599611,0.0011322761992609797,0.0547410936794855,0.0003061620581815659,1.5570855982491336,-0.39432788954816783,-0.004377051659935955,0.5325736369915888,1.2529644427445212,-0.11287743720676285,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,-0.0015478594497602167,4.07500633139875e-05,0.24679006747810422,-0.0005329571224354814,-0.0009549551729551026,1.7186990273212228e-05,0.05941516532764833,0.00024717158698872946,-0.0003275354942651579,-0.0011156525574499176,0.04855849366531673,0.0007384223534239062,1.7431135430275404,-0.38201424529041794,-0.049282389391118606,0.5165624068971982,1.412651634169918,-0.10432854731592323,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,-0.001762283200850443,3.194684837875806e-05,0.24677898592523934,-0.0005162656182891485,-0.0011276246444991776,1.1751710608244133e-05,0.05127647073494804,0.0017911765221505951,0.00029867335107406387,-0.003217786906183479,0.041888510246073374,0.001119912943838416,1.8948993594986063,-0.3631914303311055,-0.07592273207308135,0.48980298403667527,1.5411494918788229,-0.09403503632453025,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,-0.0019397144082031216,1.7058169014127467e-05,0.24676798342503464,-0.0004917656922981124,-0.001270797094304896,5.0730258623939774e-06,0.042654702441951436,0.0032258468357983772,0.0007639533500822442,-0.005137870439293518,0.03485993154888971,0.0014472639536646716,2.0113569877806343,-0.33852610093843183,-0.08677318387026409,0.45364676027075096,1.638157430814156,-0.08246422203787104,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
